team_name,team_details.ATT,team_details.MID,team_details.DEF,team_details.OVR
Manchester City ,86,87,83,86
Liverpool ,86,83,84,84
Tottenham Hotspur ,86,83,82,83
Arsenal ,86,82,80,81
Manchester United ,83,79,80,81
Chelsea ,79,84,80,81
Everton ,77,79,80,79
West Ham United ,83,79,76,78
Leicester City ,79,77,77,78
Wolverhampton Wanderers ,77,80,77,78
Watford ,77,79,76,78
AFC Bournemouth ,79,77,76,77
Newcastle United ,78,76,76,77
Crystal Palace ,75,77,76,77
Burnley ,77,76,76,76
Brighton & Hove Albion ,76,76,75,76
Southampton ,75,76,76,76
Aston Villa ,76,75,74,75
Norwich City ,76,73,72,74
Sheffield United ,73,73,73,73
